GEO.id,Id
HC01_VC84,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - $200,000 or more"
HC01_VC85,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Median household income (dollars)
HC01_VC86,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Total households - Mean household income (dollars)
HC01_VC89,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With earnings
HC01_VC90,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With earnings - Mean earnings (dollars)
HC01_VC91,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Social Security
HC01_VC92,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Social Security - Mean Social Security income (dollars)
HC01_VC93,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With retirement income
HC01_VC94,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With retirement income - Mean retirement income (dollars)
HC01_VC97,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income
HC01_VC98,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Supplemental Security Income - Mean Supplemental Security Income (dollars)
HC01_VC99,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income
HC01_VC100,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With cash public assistance income - Mean cash public assistance income (dollars)
HC01_VC101,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - With Food Stamp/SNAP benefits in the past 12 months
HC01_VC103,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families
HC01_VC104,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Less than $10,000"
HC01_VC105,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $10,000 to $14,999"
HC01_VC106,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $15,000 to $24,999"
HC01_VC107,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $25,000 to $34,999"
HC01_VC108,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $35,000 to $49,999"
HC01_VC109,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $50,000 to $74,999"
HC01_VC110,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $75,000 to $99,999"
HC01_VC111,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $100,000 to $149,999"
HC01_VC112,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $150,000 to $199,999"
HC01_VC113,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - $200,000 or more"
HC01_VC114,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
HC01_VC115,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Mean family income (dollars)
HC01_VC118,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
HC01_VC120,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Nonfamily households
HC01_VC121,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Median nonfamily income (dollars)
HC01_VC122,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Nonfamily households - Mean nonfamily income (dollars)
HC01_VC124,INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median earnings for workers (dollars)
HC01_VC125,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median earnings for male full-time, year-round workers (dollars)"
HC01_VC126,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Median earnings for female full-time, year-round workers (dollars)"
HC01_VC130,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population
HC01_VC131,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage
HC01_VC132,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage - With private health insurance
HC01_VC133,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - With health insurance coverage - With public coverage
HC01_VC134,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population - No health insurance coverage
HC01_VC137,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population under 18 years
HC01_VC138,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population under 18 years - No health insurance coverage
HC01_VC141,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years
HC01_VC142,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force:
HC01_VC143,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Employed:
HC01_VC144,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Employed: - With health insurance coverage
HC01_VC145,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Employed: - With health insurance coverage - With private health insurance
HC01_VC146,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Employed: - With health insurance coverage - With public coverage
HC01_VC147,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Employed: - No health insurance coverage
HC01_VC148,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Unemployed:
HC01_VC149,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Unemployed: - With health insurance coverage
HC01_VC150,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Unemployed: - With health insurance coverage - With private health insurance
HC01_VC151,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Unemployed: - With health insurance coverage - With public coverage
HC01_VC152,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - In labor force: - Unemployed: - No health insurance coverage
HC01_VC153,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - Not in labor force:
HC01_VC154,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - Not in labor force: - With health insurance coverage
HC01_VC155,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - Not in labor force: - With health insurance coverage - With private health insurance
HC01_VC156,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - Not in labor force: - With health insurance coverage - With public coverage
HC01_VC157,HEALTH INSURANCE COVERAGE - Civilian noninstitutionalized population 18 to 64 years - Not in labor force: - No health insurance coverage
HC01_VC161,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
HC01_VC162,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children of the householder under 18 years
HC01_VC163,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families - With related children of the householder under 18 years - With related children of the householder under 5 years only
HC01_VC164,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Married couple families
HC01_VC165,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Married couple families - With related children of the householder under 18 years
HC01_VC166,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Married couple families - With related children of the householder under 18 years - With related children of the householder under 5 years only
HC01_VC167,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Families with female householder, no husband present"
HC01_VC168,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Families with female householder, no husband present - With related children of the householder under 18 years"
HC01_VC169,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Families with female householder, no husband present - With related children of the householder under 18 years - With related children of the householder under 5 years only"
HC01_VC171,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people
HC01_VC172,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - Under 18 years
HC01_VC173,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - Under 18 years - Related children of the householder under 18 years
HC01_VC174,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - Under 18 years - Related children of the householder under 18 years - Related children of the householder under 5 years
HC01_VC175,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - Under 18 years - Related children of the householder under 18 years - Related children of the householder 5 to 17 years
HC01_VC176,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - 18 years and over
HC01_VC177,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - 18 years and over - 18 to 64 years
HC01_VC178,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All people - 18 years and over - 65 years and over
HC01_VC179,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - People in families
HC01_VC180,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - Unrelated individuals 15 years and over
